$OR;D2 
* From-Time  To-Time 
taz_3 taz_1 15.0
taz_3 taz_10 17.0
taz_3 taz_11 6.0
taz_3 taz_12 1.0
taz_3 taz_13 19.0
taz_3 taz_14 7.0
taz_3 taz_15 13.0
taz_3 taz_16 21.0
taz_3 taz_17 9.0
taz_3 taz_18 13.0
taz_3 taz_19 5.0
taz_3 taz_2 15.0
taz_3 taz_20 6.0
taz_3 taz_21 11.0
taz_3 taz_22 8.0
taz_3 taz_3 10.0
taz_3 taz_4 3.0
taz_3 taz_5 6.0
taz_3 taz_6 14.0
taz_3 taz_7 11.0
taz_3 taz_8 12.0
taz_3 taz_23 14.0
taz_4 taz_0 21.0
taz_4 taz_1 8.0
taz_4 taz_10 18.0
taz_4 taz_11 16.0
taz_4 taz_12 7.0
taz_4 taz_13 30.0
taz_4 taz_14 1.0
taz_4 taz_15 14.0
taz_4 taz_16 10.0
taz_4 taz_17 27.0
taz_4 taz_18 23.0
taz_4 taz_19 2.0
taz_4 taz_2 8.0
taz_4 taz_20 16.0
taz_4 taz_21 4.0
taz_4 taz_22 24.0
taz_4 taz_3 12.0
taz_4 taz_4 5.0
taz_4 taz_5 4.0
taz_4 taz_6 4.0
taz_4 taz_7 4.0
taz_4 taz_8 14.0
taz_4 taz_23 8.0
taz_5 taz_0 14.0
taz_5 taz_1 7.0
taz_5 taz_10 12.0
taz_5 taz_11 4.0
taz_5 taz_12 13.0
taz_5 taz_13 10.0
taz_5 taz_14 15.0
taz_5 taz_15 11.0
taz_5 taz_16 6.0
taz_5 taz_17 11.0
taz_5 taz_18 11.0
taz_5 taz_19 26.0
taz_5 taz_2 17.0
taz_5 taz_20 15.0
taz_5 taz_21 1.0
taz_5 taz_22 1.0
taz_5 taz_3 3.0
taz_5 taz_4 10.0
taz_5 taz_5 6.0
taz_5 taz_6 0.0
taz_5 taz_7 5.0
taz_5 taz_8 4.0
taz_5 taz_23 7.0
taz_6 taz_0 17.0
taz_6 taz_1 24.0
taz_6 taz_10 1.0
taz_6 taz_11 6.0
taz_6 taz_12 13.0
taz_6 taz_13 15.0
taz_6 taz_14 6.0
taz_6 taz_15 6.0
taz_6 taz_16 12.0
taz_6 taz_17 30.0
taz_6 taz_18 9.0
taz_6 taz_19 4.0
taz_6 taz_2 10.0
taz_6 taz_20 5.0
taz_6 taz_21 12.0
taz_6 taz_22 16.0
taz_6 taz_3 10.0
taz_6 taz_4 2.0
taz_6 taz_5 13.0
taz_6 taz_6 16.0
taz_6 taz_7 4.0
taz_6 taz_8 22.0
taz_6 taz_23 5.0
taz_7 taz_0 11.0
taz_7 taz_1 6.0
taz_7 taz_10 5.0
taz_7 taz_11 5.0
taz_7 taz_12 5.0
taz_7 taz_13 6.0
taz_7 taz_14 7.0
taz_7 taz_15 24.0
taz_7 taz_16 19.0
taz_7 taz_17 9.0
taz_7 taz_18 7.0
taz_7 taz_19 12.0
taz_7 taz_2 1.0
taz_7 taz_20 9.0
taz_7 taz_21 1.0
taz_7 taz_22 23.0
taz_7 taz_3 2.0
taz_7 taz_4 11.0
taz_7 taz_5 5.0
taz_7 taz_6 6.0
taz_7 taz_7 9.0
taz_7 taz_8 1.0
taz_7 taz_23 19.0
taz_8 taz_0 12.0
taz_8 taz_1 8.0
taz_8 taz_10 2.0
taz_8 taz_11 6.0
taz_8 taz_12 16.0
taz_8 taz_13 11.0
taz_8 taz_14 19.0
taz_8 taz_15 14.0
taz_8 taz_16 21.0
taz_8 taz_17 8.0
taz_8 taz_18 14.0
taz_8 taz_19 12.0
taz_8 taz_2 5.0
taz_8 taz_20 2.0
taz_8 taz_21 6.0
taz_8 taz_22 11.0
taz_8 taz_3 5.0
taz_8 taz_4 23.0
taz_8 taz_5 1.0
taz_8 taz_6 12.0
taz_8 taz_7 3.0
taz_8 taz_8 6.0
taz_8 taz_23 16.0
taz_23 taz_0 10.0
taz_23 taz_1 29.0
taz_23 taz_10 3.0
taz_23 taz_11 12.0
taz_23 taz_12 6.0
taz_23 taz_13 6.0
taz_23 taz_14 3.0
taz_23 taz_15 7.0
taz_23 taz_16 3.0
taz_23 taz_17 6.0
taz_23 taz_18 10.0
taz_23 taz_19 32.0
taz_23 taz_2 14.0
taz_23 taz_20 9.0
taz_23 taz_21 14.0
taz_23 taz_22 8.0
taz_23 taz_3 7.0
taz_23 taz_4 1.0
taz_23 taz_5 10.0
taz_23 taz_6 19.0
taz_23 taz_7 24.0
taz_23 taz_8 2.0
taz_23 taz_23 14.0
