$OR;D2 
* From-Time  To-Time 
taz_16 taz_8 4.0
taz_16 taz_23 3.0
taz_17 taz_0 3.0
taz_17 taz_1 1.0
taz_17 taz_10 1.0
taz_17 taz_11 1.0
taz_17 taz_12 8.0
taz_17 taz_13 10.0
taz_17 taz_14 10.0
taz_17 taz_15 0.0
taz_17 taz_16 6.0
taz_17 taz_17 12.0
taz_17 taz_18 1.0
taz_17 taz_19 2.0
taz_17 taz_2 2.0
taz_17 taz_20 8.0
taz_17 taz_21 2.0
taz_17 taz_22 8.0
taz_17 taz_3 19.0
taz_17 taz_4 16.0
taz_17 taz_5 6.0
taz_17 taz_6 0.0
taz_17 taz_7 6.0
taz_17 taz_8 20.0
taz_17 taz_23 9.0
taz_18 taz_0 2.0
taz_18 taz_1 3.0
taz_18 taz_10 18.0
taz_18 taz_11 6.0
taz_18 taz_12 3.0
taz_18 taz_13 10.0
taz_18 taz_14 7.0
taz_18 taz_15 5.0
taz_18 taz_16 15.0
taz_18 taz_17 12.0
taz_18 taz_18 2.0
taz_18 taz_19 11.0
taz_18 taz_2 5.0
taz_18 taz_20 10.0
taz_18 taz_21 2.0
taz_18 taz_22 5.0
taz_18 taz_3 2.0
taz_18 taz_4 9.0
taz_18 taz_5 4.0
taz_18 taz_6 9.0
taz_18 taz_7 3.0
taz_18 taz_8 3.0
taz_18 taz_23 14.0
taz_19 taz_0 14.0
taz_19 taz_1 19.0
taz_19 taz_10 5.0
taz_19 taz_11 1.0
taz_19 taz_12 13.0
taz_19 taz_13 1.0
taz_19 taz_14 10.0
taz_19 taz_15 8.0
taz_19 taz_16 17.0
taz_19 taz_17 31.0
taz_19 taz_18 4.0
taz_19 taz_19 8.0
taz_19 taz_2 3.0
taz_19 taz_20 20.0
taz_19 taz_21 15.0
taz_19 taz_22 18.0
taz_19 taz_3 11.0
taz_19 taz_4 36.0
taz_19 taz_5 2.0
taz_19 taz_6 7.0
taz_19 taz_7 1.0
taz_19 taz_8 26.0
taz_19 taz_23 9.0
taz_2 taz_0 2.0
taz_2 taz_1 4.0
taz_2 taz_10 6.0
taz_2 taz_11 2.0
taz_2 taz_12 9.0
taz_2 taz_13 2.0
taz_2 taz_14 2.0
taz_2 taz_15 18.0
taz_2 taz_16 1.0
taz_2 taz_17 8.0
taz_2 taz_18 18.0
taz_2 taz_19 16.0
taz_2 taz_2 7.0
taz_2 taz_20 4.0
taz_2 taz_21 11.0
taz_2 taz_22 23.0
taz_2 taz_3 4.0
taz_2 taz_4 12.0
taz_2 taz_5 7.0
taz_2 taz_6 7.0
taz_2 taz_7 1.0
taz_2 taz_8 23.0
taz_2 taz_23 4.0
taz_20 taz_0 3.0
taz_20 taz_1 5.0
taz_20 taz_10 15.0
taz_20 taz_11 1.0
taz_20 taz_12 6.0
taz_20 taz_13 2.0
taz_20 taz_14 12.0
taz_20 taz_15 3.0
taz_20 taz_16 3.0
taz_20 taz_17 14.0
taz_20 taz_18 11.0
taz_20 taz_19 6.0
taz_20 taz_2 2.0
taz_20 taz_20 1.0
taz_20 taz_21 1.0
taz_20 taz_22 8.0
taz_20 taz_3 2.0
taz_20 taz_4 3.0
taz_20 taz_5 15.0
taz_20 taz_6 3.0
taz_20 taz_7 17.0
taz_20 taz_8 14.0
taz_20 taz_23 1.0
taz_21 taz_0 10.0
taz_21 taz_1 4.0
taz_21 taz_10 13.0
taz_21 taz_11 7.0
taz_21 taz_12 18.0
taz_21 taz_13 4.0
taz_21 taz_14 18.0
taz_21 taz_15 9.0
taz_21 taz_16 0.0
taz_21 taz_17 2.0
taz_21 taz_18 5.0
taz_21 taz_19 9.0
taz_21 taz_2 2.0
taz_21 taz_20 23.0
taz_21 taz_21 15.0
taz_21 taz_22 18.0
taz_21 taz_3 6.0
taz_21 taz_4 32.0
taz_21 taz_5 3.0
taz_21 taz_6 21.0
taz_21 taz_7 3.0
taz_21 taz_8 8.0
taz_21 taz_23 19.0
taz_22 taz_0 0.0
taz_22 taz_1 7.0
taz_22 taz_10 17.0
taz_22 taz_11 11.0
taz_22 taz_12 4.0
taz_22 taz_13 2.0
taz_22 taz_14 11.0
taz_22 taz_15 18.0
taz_22 taz_16 6.0
taz_22 taz_17 2.0
taz_22 taz_18 8.0
taz_22 taz_19 14.0
taz_22 taz_2 2.0
taz_22 taz_20 6.0
taz_22 taz_21 5.0
taz_22 taz_22 14.0
taz_22 taz_3 19.0
taz_22 taz_4 2.0
taz_22 taz_5 12.0
taz_22 taz_6 7.0
taz_22 taz_7 5.0
taz_22 taz_8 9.0
taz_22 taz_23 6.0
taz_3 taz_0 4.0
taz_3 taz_1 10.0
taz_3 taz_10 18.0
taz_3 taz_11 3.0
taz_3 taz_12 0.0
taz_3 taz_13 16.0
taz_3 taz_14 6.0
taz_3 taz_15 12.0
taz_3 taz_16 19.0
taz_3 taz_17 6.0
taz_3 taz_18 10.0
taz_3 taz_19 5.0
taz_3 taz_2 13.0
taz_3 taz_20 5.0
taz_3 taz_21 6.0
taz_3 taz_22 4.0
taz_3 taz_3 7.0
taz_3 taz_4 1.0
taz_3 taz_5 6.0
taz_3 taz_6 10.0
taz_3 taz_7 8.0
taz_3 taz_8 7.0
taz_3 taz_23 12.0
taz_4 taz_0 16.0
taz_4 taz_1 4.0
taz_4 taz_10 14.0
taz_4 taz_11 11.0
taz_4 taz_12 6.0
taz_4 taz_13 29.0
taz_4 taz_14 1.0
taz_4 taz_15 12.0
taz_4 taz_16 8.0
taz_4 taz_17 24.0
taz_4 taz_18 19.0
taz_4 taz_19 1.0
taz_4 taz_2 5.0
taz_4 taz_20 13.0
taz_4 taz_21 2.0
taz_4 taz_22 20.0
taz_4 taz_3 9.0
taz_4 taz_4 5.0
taz_4 taz_5 2.0
taz_4 taz_6 3.0
taz_4 taz_7 3.0
taz_4 taz_8 13.0
taz_4 taz_23 6.0
taz_5 taz_0 9.0
taz_5 taz_1 3.0
taz_5 taz_10 9.0
taz_5 taz_11 2.0
taz_5 taz_12 12.0
taz_5 taz_13 7.0
taz_5 taz_14 10.0
taz_5 taz_15 5.0
taz_5 taz_16 3.0
taz_5 taz_17 8.0
taz_5 taz_18 8.0
taz_5 taz_19 21.0
taz_5 taz_2 17.0
taz_5 taz_20 13.0
taz_5 taz_21 0.0
taz_5 taz_22 1.0
taz_5 taz_3 1.0
taz_5 taz_4 6.0
taz_5 taz_5 2.0
taz_5 taz_6 0.0
taz_5 taz_7 3.0
taz_5 taz_8 2.0
taz_5 taz_23 6.0
taz_6 taz_0 11.0
taz_6 taz_1 24.0
taz_6 taz_10 0.0
taz_6 taz_11 4.0
taz_6 taz_12 10.0
taz_6 taz_13 10.0
taz_6 taz_14 3.0
taz_6 taz_15 5.0
taz_6 taz_16 11.0
taz_6 taz_17 29.0
taz_6 taz_18 7.0
taz_6 taz_19 3.0
taz_6 taz_2 7.0
taz_6 taz_20 3.0
taz_6 taz_21 11.0
taz_6 taz_22 11.0
taz_6 taz_3 7.0
taz_6 taz_4 0.0
taz_6 taz_5 12.0
taz_6 taz_6 17.0
taz_6 taz_7 3.0
taz_6 taz_8 20.0
taz_6 taz_23 2.0
taz_7 taz_0 8.0
taz_7 taz_1 3.0
taz_7 taz_10 4.0
taz_7 taz_11 5.0
taz_7 taz_12 2.0
taz_7 taz_13 4.0
taz_7 taz_14 4.0
taz_7 taz_15 25.0
taz_7 taz_16 14.0
taz_7 taz_17 7.0
taz_7 taz_18 6.0
taz_7 taz_19 9.0
taz_7 taz_2 1.0
taz_7 taz_20 4.0
taz_7 taz_21 1.0
taz_7 taz_22 23.0
taz_7 taz_3 1.0
taz_7 taz_4 8.0
taz_7 taz_5 2.0
taz_7 taz_6 5.0
taz_7 taz_7 7.0
taz_7 taz_8 1.0
taz_7 taz_23 17.0
taz_8 taz_0 8.0
taz_8 taz_1 6.0
taz_8 taz_10 2.0
taz_8 taz_11 6.0
taz_8 taz_12 17.0
taz_8 taz_13 8.0
taz_8 taz_14 13.0
taz_8 taz_15 12.0
taz_8 taz_16 15.0
taz_8 taz_17 8.0
taz_8 taz_18 12.0
taz_8 taz_19 9.0
taz_8 taz_2 5.0
taz_8 taz_20 2.0
taz_8 taz_21 3.0
taz_8 taz_22 9.0
taz_8 taz_3 3.0
taz_8 taz_4 23.0
taz_8 taz_5 1.0
taz_8 taz_6 11.0
taz_8 taz_7 2.0
taz_8 taz_8 5.0
taz_8 taz_23 15.0
taz_23 taz_0 7.0
taz_23 taz_1 26.0
taz_23 taz_10 1.0
taz_23 taz_11 9.0
taz_23 taz_12 6.0
taz_23 taz_13 5.0
taz_23 taz_14 2.0
taz_23 taz_15 7.0
taz_23 taz_16 1.0
taz_23 taz_17 5.0
taz_23 taz_18 7.0
taz_23 taz_19 27.0
taz_23 taz_2 9.0
taz_23 taz_20 5.0
taz_23 taz_21 9.0
taz_23 taz_22 4.0
taz_23 taz_3 6.0
taz_23 taz_4 1.0
taz_23 taz_5 8.0
taz_23 taz_6 15.0
taz_23 taz_7 24.0
taz_23 taz_8 1.0
taz_23 taz_23 10.0
