$OR;D2 
* From-Time  To-Time 
taz_16 taz_19 4.0
taz_16 taz_2 9.0
taz_16 taz_20 16.0
taz_16 taz_21 3.0
taz_16 taz_22 5.0
taz_16 taz_3 2.0
taz_16 taz_4 5.0
taz_16 taz_5 5.0
taz_16 taz_6 12.0
taz_16 taz_7 19.0
taz_16 taz_8 5.0
taz_16 taz_23 4.0
taz_17 taz_0 3.0
taz_17 taz_1 2.0
taz_17 taz_10 2.0
taz_17 taz_11 2.0
taz_17 taz_12 6.0
taz_17 taz_13 7.0
taz_17 taz_14 11.0
taz_17 taz_15 1.0
taz_17 taz_16 6.0
taz_17 taz_17 13.0
taz_17 taz_18 2.0
taz_17 taz_19 3.0
taz_17 taz_2 4.0
taz_17 taz_20 7.0
taz_17 taz_21 4.0
taz_17 taz_22 9.0
taz_17 taz_3 17.0
taz_17 taz_4 15.0
taz_17 taz_5 5.0
taz_17 taz_6 1.0
taz_17 taz_7 5.0
taz_17 taz_8 17.0
taz_17 taz_23 9.0
taz_18 taz_0 2.0
taz_18 taz_1 4.0
taz_18 taz_10 15.0
taz_18 taz_11 5.0
taz_18 taz_12 4.0
taz_18 taz_13 11.0
taz_18 taz_14 7.0
taz_18 taz_15 6.0
taz_18 taz_16 12.0
taz_18 taz_17 11.0
taz_18 taz_18 2.0
taz_18 taz_19 8.0
taz_18 taz_2 5.0
taz_18 taz_20 10.0
taz_18 taz_21 3.0
taz_18 taz_22 7.0
taz_18 taz_3 2.0
taz_18 taz_4 8.0
taz_18 taz_5 5.0
taz_18 taz_6 9.0
taz_18 taz_7 3.0
taz_18 taz_8 4.0
taz_18 taz_23 14.0
taz_19 taz_0 11.0
taz_19 taz_1 14.0
taz_19 taz_10 6.0
taz_19 taz_11 1.0
taz_19 taz_12 14.0
taz_19 taz_13 1.0
taz_19 taz_14 7.0
taz_19 taz_15 7.0
taz_19 taz_16 13.0
taz_19 taz_17 21.0
taz_19 taz_18 5.0
taz_19 taz_19 8.0
taz_19 taz_2 3.0
taz_19 taz_20 16.0
taz_19 taz_21 15.0
taz_19 taz_22 15.0
taz_19 taz_3 8.0
taz_19 taz_4 27.0
taz_19 taz_5 2.0
taz_19 taz_6 9.0
taz_19 taz_7 1.0
taz_19 taz_8 21.0
taz_19 taz_23 9.0
taz_2 taz_0 2.0
taz_2 taz_1 5.0
taz_2 taz_10 6.0
taz_2 taz_11 3.0
taz_2 taz_12 8.0
taz_2 taz_13 2.0
taz_2 taz_14 3.0
taz_2 taz_15 15.0
taz_2 taz_16 1.0
taz_2 taz_17 7.0
taz_2 taz_18 15.0
taz_2 taz_19 15.0
taz_2 taz_2 6.0
taz_2 taz_20 2.0
taz_2 taz_21 11.0
taz_2 taz_22 16.0
taz_2 taz_3 5.0
taz_2 taz_4 9.0
taz_2 taz_5 6.0
taz_2 taz_6 9.0
taz_2 taz_7 0.0
taz_2 taz_8 16.0
taz_2 taz_23 5.0
taz_20 taz_0 4.0
taz_20 taz_1 5.0
taz_20 taz_10 14.0
taz_20 taz_11 2.0
taz_20 taz_12 5.0
taz_20 taz_13 2.0
taz_20 taz_14 10.0
taz_20 taz_15 3.0
taz_20 taz_16 3.0
taz_20 taz_17 13.0
taz_20 taz_18 8.0
taz_20 taz_19 6.0
taz_20 taz_2 3.0
taz_20 taz_20 1.0
taz_20 taz_21 2.0
taz_20 taz_22 10.0
taz_20 taz_3 2.0
taz_20 taz_4 4.0
taz_20 taz_5 14.0
taz_20 taz_6 4.0
taz_20 taz_7 11.0
taz_20 taz_8 11.0
taz_20 taz_23 3.0
taz_21 taz_0 9.0
taz_21 taz_1 5.0
taz_21 taz_10 11.0
taz_21 taz_11 6.0
taz_21 taz_12 14.0
taz_21 taz_13 3.0
taz_21 taz_14 15.0
taz_21 taz_15 9.0
taz_21 taz_16 0.0
taz_21 taz_17 3.0
taz_21 taz_18 6.0
taz_21 taz_19 10.0
taz_21 taz_2 3.0
taz_21 taz_20 16.0
taz_21 taz_21 14.0
taz_21 taz_22 13.0
taz_21 taz_3 5.0
taz_21 taz_4 23.0
taz_21 taz_5 4.0
taz_21 taz_6 18.0
taz_21 taz_7 4.0
taz_21 taz_8 7.0
taz_21 taz_23 14.0
taz_22 taz_0 1.0
taz_22 taz_1 9.0
taz_22 taz_10 16.0
taz_22 taz_11 11.0
taz_22 taz_12 5.0
taz_22 taz_13 2.0
taz_22 taz_14 11.0
taz_22 taz_15 13.0
taz_22 taz_16 5.0
taz_22 taz_17 3.0
taz_22 taz_18 9.0
taz_22 taz_19 11.0
taz_22 taz_2 3.0
taz_22 taz_20 6.0
taz_22 taz_21 4.0
taz_22 taz_22 12.0
taz_22 taz_3 15.0
taz_22 taz_4 3.0
taz_22 taz_5 8.0
taz_22 taz_6 7.0
taz_22 taz_7 5.0
taz_22 taz_8 9.0
taz_22 taz_23 6.0
taz_3 taz_0 5.0
taz_3 taz_1 11.0
taz_3 taz_10 13.0
taz_3 taz_11 4.0
taz_3 taz_12 1.0
taz_3 taz_13 14.0
taz_3 taz_14 5.0
taz_3 taz_15 9.0
taz_3 taz_16 14.0
taz_3 taz_17 7.0
taz_3 taz_18 10.0
taz_3 taz_19 4.0
taz_3 taz_2 11.0
taz_3 taz_20 4.0
taz_3 taz_21 8.0
taz_3 taz_22 6.0
taz_3 taz_3 7.0
taz_3 taz_4 2.0
taz_3 taz_5 4.0
taz_3 taz_6 10.0
taz_3 taz_7 8.0
taz_3 taz_8 8.0
taz_3 taz_23 9.0
taz_4 taz_0 15.0
taz_4 taz_1 5.0
taz_4 taz_10 13.0
taz_4 taz_11 12.0
taz_4 taz_12 5.0
taz_4 taz_13 22.0
taz_4 taz_14 1.0
taz_4 taz_15 11.0
taz_4 taz_16 7.0
taz_4 taz_17 19.0
taz_4 taz_18 16.0
taz_4 taz_19 2.0
taz_4 taz_2 6.0
taz_4 taz_20 12.0
taz_4 taz_21 3.0
taz_4 taz_22 16.0
taz_4 taz_3 9.0
taz_4 taz_4 4.0
taz_4 taz_5 2.0
taz_4 taz_6 3.0
taz_4 taz_7 3.0
taz_4 taz_8 10.0
taz_4 taz_23 6.0
taz_5 taz_0 10.0
taz_5 taz_1 5.0
taz_5 taz_10 9.0
taz_5 taz_11 3.0
taz_5 taz_12 9.0
taz_5 taz_13 7.0
taz_5 taz_14 11.0
taz_5 taz_15 8.0
taz_5 taz_16 4.0
taz_5 taz_17 7.0
taz_5 taz_18 8.0
taz_5 taz_19 19.0
taz_5 taz_2 13.0
taz_5 taz_20 11.0
taz_5 taz_21 1.0
taz_5 taz_22 1.0
taz_5 taz_3 2.0
taz_5 taz_4 7.0
taz_5 taz_5 4.0
taz_5 taz_6 0.0
taz_5 taz_7 3.0
taz_5 taz_8 2.0
taz_5 taz_23 5.0
taz_6 taz_0 12.0
taz_6 taz_1 18.0
taz_6 taz_10 1.0
taz_6 taz_11 5.0
taz_6 taz_12 10.0
taz_6 taz_13 11.0
taz_6 taz_14 4.0
taz_6 taz_15 4.0
taz_6 taz_16 8.0
taz_6 taz_17 22.0
taz_6 taz_18 6.0
taz_6 taz_19 3.0
taz_6 taz_2 6.0
taz_6 taz_20 3.0
taz_6 taz_21 8.0
taz_6 taz_22 11.0
taz_6 taz_3 7.0
taz_6 taz_4 1.0
taz_6 taz_5 9.0
taz_6 taz_6 12.0
taz_6 taz_7 3.0
taz_6 taz_8 16.0
taz_6 taz_23 3.0
taz_7 taz_0 8.0
taz_7 taz_1 4.0
taz_7 taz_10 3.0
taz_7 taz_11 4.0
taz_7 taz_12 3.0
taz_7 taz_13 4.0
taz_7 taz_14 5.0
taz_7 taz_15 16.0
taz_7 taz_16 13.0
taz_7 taz_17 6.0
taz_7 taz_18 5.0
taz_7 taz_19 8.0
taz_7 taz_2 1.0
taz_7 taz_20 7.0
taz_7 taz_21 1.0
taz_7 taz_22 16.0
taz_7 taz_3 2.0
taz_7 taz_4 8.0
taz_7 taz_5 3.0
taz_7 taz_6 4.0
taz_7 taz_7 6.0
taz_7 taz_8 1.0
taz_7 taz_23 14.0
taz_8 taz_0 8.0
taz_8 taz_1 6.0
taz_8 taz_10 2.0
taz_8 taz_11 5.0
taz_8 taz_12 12.0
taz_8 taz_13 8.0
taz_8 taz_14 14.0
taz_8 taz_15 10.0
taz_8 taz_16 14.0
taz_8 taz_17 6.0
taz_8 taz_18 10.0
taz_8 taz_19 9.0
taz_8 taz_2 3.0
taz_8 taz_20 2.0
taz_8 taz_21 4.0
taz_8 taz_22 9.0
taz_8 taz_3 4.0
taz_8 taz_4 17.0
taz_8 taz_5 1.0
taz_8 taz_6 8.0
taz_8 taz_7 3.0
taz_8 taz_8 4.0
taz_8 taz_23 12.0
taz_23 taz_0 7.0
taz_23 taz_1 21.0
taz_23 taz_10 2.0
taz_23 taz_11 9.0
taz_23 taz_12 5.0
taz_23 taz_13 4.0
taz_23 taz_14 2.0
taz_23 taz_15 5.0
taz_23 taz_16 2.0
taz_23 taz_17 4.0
taz_23 taz_18 7.0
taz_23 taz_19 22.0
taz_23 taz_2 10.0
taz_23 taz_20 7.0
taz_23 taz_21 10.0
taz_23 taz_22 5.0
taz_23 taz_3 5.0
taz_23 taz_4 1.0
taz_23 taz_5 7.0
taz_23 taz_6 14.0
taz_23 taz_7 18.0
taz_23 taz_8 2.0
taz_23 taz_23 10.0
